combination,optimizer,loss,temperature,lr,clip,decay,epochs,batch_size,binary_encoding,max_code_length,embedding_size,BN,input_embedding_size,encoding_type,bias,dropout,l2,max_authors,model,spm_model_file,train_data,val_data,test_data,val_loss,train_loss
10,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs8000.model,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_test.h5,3.5644772052764893,2.52367639541626
11,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs1024.model,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_test.h5,3.4285647869110107,2.81426215171814
12,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs512.model,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_test.h5,3.4113974571228027,3.085169553756714
13,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs256.model,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_test.h5,3.5439727306365967,3.1373329162597656
14,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs128.model,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_test.h5,3.6428263187408447,2.916855335235596
15,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs8000.model,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_test.h5,3.5623490810394287,2.8886680603027344
16,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs1024.model,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_test.h5,3.46331787109375,2.8000643253326416
17,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs512.model,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_test.h5,3.417932748794556,2.9152631759643555
18,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs256.model,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_test.h5,3.5697572231292725,3.2103593349456787
19,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,128,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs128.model,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_test.h5,3.513924360275269,2.95649790763855
20,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs8000.model,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_test.h5,3.617095232009888,2.656439304351806
21,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs1024.model,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_test.h5,3.475888729095459,2.9371623992919917
22,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs512.model,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_test.h5,3.4077084064483643,2.904771327972412
23,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs256.model,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_test.h5,3.468723058700561,2.79189395904541
24,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs128.model,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_test.h5,3.6023850440979004,2.7897775173187256
25,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs8000.model,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_test.h5,3.5836215019226074,2.581471920013428
26,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs1024.model,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_test.h5,3.5142805576324463,2.6495025157928467
27,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs512.model,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_test.h5,3.549473524093628,2.82961654663086
28,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs256.model,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_test.h5,3.634016275405884,2.9248762130737305
29,adam,simclr,0.005,0.001,1.0,2.5e-06,20,2000,False,1000,256,False,256,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs128.model,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs128_a0.5_l-1_test.h5,3.5882244110107417,2.738301992416382
30,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs8000.model,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs8000_a0.5_l-1_test.h5,3.5220224857330322,5.215836524963379
31,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs1024.model,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs1024_a0.5_l-1_test.h5,3.2452516555786133,2.394914388656616
32,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs512.model,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs512_a0.5_l-1_test.h5,3.1749367713928223,3.4669415950775146
33,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs256.model,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs256_a0.5_l-1_test.h5,3.312307119369507,3.3068556785583496
34,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_by_line_cc9995_vs128.model,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_train.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_val.h5,encoded_data/c_cpp_h_by_line_cc9995_vs128_a0.5_l-1_test.h5,3.3108863830566406,3.5366876125335693
35,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs8000.model,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs8000_a0.5_l-1_test.h5,3.371408700942993,3.0442211627960205
36,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs1024.model,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs1024_a0.5_l-1_test.h5,3.1645843982696533,3.7057814598083496
37,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs512.model,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs512_a0.5_l-1_test.h5,3.3299665451049805,3.2385714054107666
38,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1500,False,1000,256,False,512,spm,False,0.0,0.0,1600,contrastive_cnn,data/organized_hdfs/spm_models/c_cpp_h_program_cc9995_vs256.model,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_train.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_val.h5,encoded_data/c_cpp_h_program_cc9995_vs256_a0.5_l-1_test.h5,3.279550075531006,3.384500503540039
